epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,37.0036,2.67947,0.18519,0.65432,2.51057,0.00021,0.00021,0.07921
2,74.1094,2.43301,0.2963,0.64198,2.36489,0.00041581,0.00041581,0.0574158
3,110.231,2.28294,0.33333,0.61728,2.35402,0.0006071,0.0006071,0.0356071
4,146.414,2.10698,0.28395,0.61728,2.3217,0.00078387,0.00078387,0.0137839
5,182.322,1.99566,0.30864,0.60494,2.22706,0.000868,0.000868,0.000868
6,218.349,1.88864,0.32099,0.69136,2.22964,0.000835,0.000835,0.000835
7,254.259,1.76766,0.33333,0.69136,2.02177,0.000802,0.000802,0.000802
8,290.111,1.6128,0.34568,0.69136,2.32403,0.000769,0.000769,0.000769
9,326.034,1.4878,0.30864,0.7037,2.14179,0.000736,0.000736,0.000736
10,362.244,1.4293,0.30864,0.61728,2.32884,0.000703,0.000703,0.000703
11,397.969,1.30808,0.2963,0.64198,2.32231,0.00067,0.00067,0.00067
12,434.003,1.2319,0.28395,0.71605,2.3181,0.000637,0.000637,0.000637
13,469.998,1.19161,0.32099,0.7037,2.22765,0.000604,0.000604,0.000604
14,506.009,1.09681,0.33333,0.69136,2.3708,0.000571,0.000571,0.000571
15,542.193,1.05801,0.33333,0.67901,2.395,0.000538,0.000538,0.000538
16,578.134,0.96033,0.33333,0.71605,2.31952,0.000505,0.000505,0.000505
17,614.042,0.96665,0.34568,0.7037,2.4182,0.000472,0.000472,0.000472
18,650.128,0.86321,0.33333,0.7037,2.41811,0.000439,0.000439,0.000439
19,686.058,0.82211,0.33333,0.7037,2.46597,0.000406,0.000406,0.000406
20,722.088,0.86758,0.32099,0.7037,2.4057,0.000373,0.000373,0.000373
21,758.232,0.83268,0.33333,0.67901,2.54033,0.00034,0.00034,0.00034
22,795.006,0.74599,0.35802,0.74074,2.40781,0.000307,0.000307,0.000307
23,831.032,0.78083,0.34568,0.66667,2.43114,0.000274,0.000274,0.000274
24,869.041,0.71899,0.33333,0.69136,2.45721,0.000241,0.000241,0.000241
25,906.909,0.78594,0.33333,0.67901,2.45342,0.000208,0.000208,0.000208
26,944.863,0.70435,0.34568,0.69136,2.48779,0.000175,0.000175,0.000175
27,983,0.67099,0.37037,0.7037,2.29212,0.000142,0.000142,0.000142
28,1021.07,0.69591,0.35802,0.69136,2.52392,0.000109,0.000109,0.000109
29,1058.81,0.68457,0.34568,0.69136,2.39977,7.6e-05,7.6e-05,7.6e-05
30,1096.64,0.6867,0.34568,0.69136,2.37504,4.3e-05,4.3e-05,4.3e-05
