epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,144.768,2.50052,4.84935,1.64427,0,0,0,0,1.85387,4.80035,1.37044,7.2e-05,7.2e-05,7.2e-05
2,282.99,2.2929,4.35449,1.49138,0.04935,0.0196,0.02855,0.01537,1.70685,4.60839,1.27515,0.000133348,0.000133348,0.000133348
3,417.134,2.20403,3.68351,1.43633,0.02401,0.11478,0.04062,0.03362,1.78206,4.08653,1.3304,0.000179648,0.000179648,0.000179648
4,548.739,2.18847,3.32367,1.43831,0.01697,0.17569,0.04638,0.03397,1.83882,3.46266,1.33844,0.0002109,0.0002109,0.0002109
5,682.875,2.11569,3.12437,1.40043,0.65005,0.03575,0.0443,0.03066,1.80227,3.207,1.33422,0.000227104,0.000227104,0.000227104
6,817.86,2.10679,2.99514,1.39016,0.64701,0.05815,0.03221,0.01886,1.81244,2.93997,1.3332,0.000202,0.000202,0.000202
7,955.36,2.06896,2.9017,1.37083,0.64852,0.06181,0.03573,0.02135,1.7869,2.77323,1.30765,0.0001624,0.0001624,0.0001624
8,1100.57,1.99994,2.83731,1.34477,0.65381,0.0588,0.03607,0.0214,1.76607,2.75683,1.30057,0.0001228,0.0001228,0.0001228
9,1247.79,1.9792,2.76,1.33178,0.65034,0.0591,0.03493,0.02104,1.75084,2.73209,1.2872,8.32e-05,8.32e-05,8.32e-05
10,1385.41,1.99305,2.73065,1.33948,0.64717,0.06126,0.03612,0.02222,1.73273,2.68375,1.28329,4.36e-05,4.36e-05,4.36e-05
