epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,81.3071,2.5672,3.61504,1.46934,0.0042,0.02731,0.00676,0.00335,2.71288,3.38751,1.62995,0.0003,0.0003,0.0703
2,155.361,2.2663,2.83115,1.36783,0.15594,0.0413,0.03081,0.01561,2.35354,2.85462,1.53964,0.000597922,0.000597922,0.0395979
3,229.086,2.25248,2.63423,1.35473,0.13159,0.05072,0.043,0.02147,2.21178,2.73031,1.45463,0.000883568,0.000883568,0.00888357
4,301.202,2.20303,2.56743,1.31976,0.12889,0.08346,0.04021,0.02002,2.20759,2.82616,1.44728,0.0009406,0.0009406,0.0009406
5,375.502,2.14639,2.5046,1.34715,0.12918,0.10519,0.05189,0.02773,2.10143,2.76913,1.42494,0.0009208,0.0009208,0.0009208
6,447.994,2.11904,2.46478,1.32888,0.21281,0.05839,0.04637,0.02364,2.13314,2.72006,1.40242,0.000901,0.000901,0.000901
7,521.306,2.08301,2.4247,1.31119,0.35977,0.06583,0.0492,0.02801,2.06513,2.51774,1.37945,0.0008812,0.0008812,0.0008812
8,591.997,2.03805,2.39281,1.28727,0.36244,0.07202,0.04989,0.02952,2.06564,2.4119,1.387,0.0008614,0.0008614,0.0008614
9,662.736,2.04452,2.33254,1.31144,0.37511,0.07103,0.0558,0.03111,2.0479,2.37583,1.40894,0.0008416,0.0008416,0.0008416
10,735.055,2.02955,2.2795,1.29832,0.28708,0.0852,0.05726,0.02925,2.03497,2.38844,1.42744,0.0008218,0.0008218,0.0008218
11,806.679,2.00201,2.35084,1.30348,0.24083,0.09329,0.06019,0.03293,1.99497,2.35671,1.38493,0.000802,0.000802,0.000802
12,881.051,1.98317,2.23128,1.26048,0.24117,0.09006,0.06268,0.03594,2.0008,2.32925,1.34274,0.0007822,0.0007822,0.0007822
13,958.566,1.93704,2.21802,1.26211,0.31675,0.09498,0.06826,0.0381,2.01834,2.2823,1.34481,0.0007624,0.0007624,0.0007624
14,1036.73,1.99198,2.21854,1.26546,0.31795,0.13454,0.08548,0.04859,1.96847,2.25032,1.33253,0.0007426,0.0007426,0.0007426
15,1113.2,1.94708,2.22931,1.24538,0.32104,0.11315,0.08541,0.05385,1.98499,2.25669,1.35736,0.0007228,0.0007228,0.0007228
16,1186.35,1.94359,2.20737,1.26094,0.25317,0.09149,0.07648,0.04383,1.95028,2.26577,1.34011,0.000703,0.000703,0.000703
17,1256.2,1.8845,2.17301,1.24615,0.32737,0.10316,0.0761,0.04373,1.94709,2.23765,1.33823,0.0006832,0.0006832,0.0006832
18,1328.06,1.92122,2.11802,1.2221,0.34255,0.13499,0.0808,0.04556,1.97154,2.21247,1.33994,0.0006634,0.0006634,0.0006634
19,1399.24,1.90085,2.08397,1.22601,0.24953,0.10159,0.07579,0.04306,1.96716,2.23242,1.36781,0.0006436,0.0006436,0.0006436
20,1469.83,1.86646,2.13155,1.25046,0.3622,0.12375,0.08345,0.04796,1.91949,2.2102,1.32619,0.0006238,0.0006238,0.0006238
21,1540.64,1.86406,2.02351,1.22051,0.34852,0.10716,0.0823,0.0484,1.91023,2.17441,1.3221,0.000604,0.000604,0.000604
22,1611.28,1.83413,2.04246,1.2232,0.3296,0.11449,0.09695,0.06064,1.87995,2.15598,1.33369,0.0005842,0.0005842,0.0005842
23,1681.33,1.84951,2.0331,1.22363,0.4319,0.12308,0.09327,0.05623,1.87135,2.14787,1.34676,0.0005644,0.0005644,0.0005644
24,1752.08,1.81311,1.99067,1.20705,0.43228,0.13869,0.08997,0.0559,1.86674,2.13807,1.32954,0.0005446,0.0005446,0.0005446
25,1822.74,1.87838,2.02929,1.19788,0.41075,0.1371,0.09059,0.05549,1.83333,2.09002,1.29206,0.0005248,0.0005248,0.0005248
26,1892.66,1.80424,1.97627,1.19181,0.26978,0.14381,0.0903,0.05541,1.83793,2.10516,1.29836,0.000505,0.000505,0.000505
27,1964.45,1.80379,1.98407,1.20477,0.26328,0.13488,0.09064,0.05505,1.88611,2.11843,1.32766,0.0004852,0.0004852,0.0004852
28,2035.38,1.74805,2.00392,1.18067,0.26943,0.13654,0.09079,0.05559,1.81801,2.08,1.31594,0.0004654,0.0004654,0.0004654
29,2106.73,1.76604,1.92471,1.18597,0.36698,0.14946,0.09629,0.05972,1.78764,2.07949,1.3154,0.0004456,0.0004456,0.0004456
30,2178.16,1.75627,1.93408,1.18289,0.51539,0.16364,0.10323,0.06319,1.8102,2.08799,1.34371,0.0004258,0.0004258,0.0004258
31,2248.6,1.7853,1.95147,1.21119,0.40785,0.16055,0.10478,0.06713,1.83894,2.0774,1.35633,0.000406,0.000406,0.000406
32,2319.19,1.76695,1.91707,1.20506,0.42569,0.11767,0.09054,0.05529,1.86022,2.08966,1.32116,0.0003862,0.0003862,0.0003862
33,2390.95,1.81971,1.95881,1.20789,0.3432,0.13371,0.09453,0.05946,1.83701,2.08797,1.30947,0.0003664,0.0003664,0.0003664
34,2462.63,1.75268,1.85958,1.16297,0.41543,0.15611,0.09831,0.06192,1.78528,2.12425,1.2924,0.0003466,0.0003466,0.0003466
35,2534.53,1.75025,1.86203,1.16039,0.59043,0.13207,0.09916,0.06107,1.78825,2.03367,1.30553,0.0003268,0.0003268,0.0003268
36,2606.2,1.74466,1.86067,1.16861,0.36472,0.1195,0.11006,0.07126,1.79546,2.02895,1.32439,0.000307,0.000307,0.000307
37,2679.29,1.75822,1.85587,1.19454,0.42433,0.13588,0.11192,0.07262,1.79169,2.06338,1.31269,0.0002872,0.0002872,0.0002872
38,2751.08,1.68085,1.79902,1.13078,0.42392,0.1338,0.1017,0.06313,1.7975,2.08595,1.30458,0.0002674,0.0002674,0.0002674
39,2822.64,1.7091,1.84071,1.14076,0.59056,0.13443,0.10142,0.0613,1.80187,2.03737,1.30515,0.0002476,0.0002476,0.0002476
40,2895.79,1.78927,1.87204,1.17615,0.59782,0.13709,0.10644,0.06652,1.78092,2.04191,1.2947,0.0002278,0.0002278,0.0002278
41,2962.62,1.71845,2.10459,1.18268,0.59625,0.12922,0.10122,0.06302,1.78435,2.10921,1.29402,0.000208,0.000208,0.000208
42,3030.66,1.67022,2.02544,1.16161,0.44214,0.12858,0.10396,0.06348,1.79921,2.15743,1.29273,0.0001882,0.0001882,0.0001882
43,3098.69,1.71928,1.9927,1.16463,0.35869,0.14151,0.1031,0.05869,1.79991,2.16069,1.29343,0.0001684,0.0001684,0.0001684
44,3166.22,1.61341,1.93787,1.16326,0.42964,0.14071,0.10038,0.05851,1.80307,2.12713,1.30516,0.0001486,0.0001486,0.0001486
45,3234.09,1.61883,1.86754,1.15924,0.51184,0.1279,0.09711,0.0572,1.79557,2.10258,1.30013,0.0001288,0.0001288,0.0001288
46,3301.54,1.65188,1.88874,1.16201,0.51203,0.13692,0.09638,0.05958,1.79558,2.11378,1.30625,0.000109,0.000109,0.000109
47,3374.84,1.66389,1.9201,1.16402,0.60467,0.13232,0.10021,0.0613,1.78928,2.10906,1.3022,8.92e-05,8.92e-05,8.92e-05
